fullName,age,position,nationality,height,preferredFoot,teamName,marketValue,goals,assists,matchesPlayed,yellowCards,redCards,source
Kreshnik Uka,31,Forward,Kosovo,0,Unknown,FC Drenica,0,16,0,33,0,0,Transfermarkt goalscorers 25/26
Senad Jarovic,28,Forward,Germany; Bosnia-Herzegovina,0,Unknown,SC Gjilani,0,15,0,30,0,0,Transfermarkt goalscorers 25/26
Valentin Serebe,23,Forward,Cote d'Ivoire,0,Unknown,FC Ballkani,0,14,0,32,0,0,Transfermarkt goalscorers 25/26
Mario Ilievski,23,Forward,North Macedonia,0,Unknown,FC Prishtina,0,13,0,27,0,0,Transfermarkt goalscorers 25/26
Almir Kryeziu,27,Forward,Kosovo,0,Unknown,FC Ballkani,0,12,0,28,0,0,Transfermarkt goalscorers 25/26
Etnik Brruti,22,Midfielder,Albania; Kosovo,0,Unknown,FC Malisheva,0,9,0,29,0,0,Transfermarkt goalscorers 25/26
Muhamet Hyseni,25,Forward,Kosovo,0,Unknown,KF Llapi,0,9,0,24,0,0,Transfermarkt goalscorers 25/26
Besnik Krasniqi,36,Defender,Kosovo,0,Unknown,FC Drita,0,8,0,28,0,0,Transfermarkt goalscorers 25/26
Bleart Tolaj,26,Forward,Kosovo,0,Unknown,FC Ballkani,0,8,0,32,0,0,Transfermarkt goalscorers 25/26
Giovanni,24,Midfielder,Brazil; Italy,0,Unknown,FC Ballkani,0,7,0,29,0,0,Transfermarkt goalscorers 25/26
Armend Thaqi,33,Defender,Kosovo,0,Unknown,SC Gjilani,0,7,0,32,0,0,Transfermarkt goalscorers 25/26
Valmir Veliu,25,Forward,Kosovo,0,Unknown,FC Prishtina,0,7,0,29,0,0,Transfermarkt goalscorers 25/26
Ronaldo Chacon,28,Forward,Venezuela,0,Unknown,FC Drenica,0,7,0,27,0,0,Transfermarkt goalscorers 25/26
Edon Sadriu,28,Forward,Kosovo,0,Unknown,KF Llapi,0,7,0,25,0,0,Transfermarkt goalscorers 25/26
Axel Gnapi,24,Forward,France; Cote d'Ivoire,0,Unknown,KF Llapi,0,7,0,15,0,0,Transfermarkt goalscorers 25/26
Altin Merlaku,33,Forward,Kosovo,0,Unknown,KF Dukagjini,0,7,0,30,0,0,Transfermarkt goalscorers 25/26
Jakup Berisha,26,Forward,North Macedonia; Albania,0,Unknown,FC Ferizaj,0,7,0,27,0,0,Transfermarkt goalscorers 25/26
Altin Aliu,26,Forward,Kosovo,0,Unknown,FC Malisheva,0,7,0,25,0,0,Transfermarkt goalscorers 25/26
Kristal Abazaj,29,Forward,Albania,0,Unknown,FC Drita,0,6,0,27,0,0,Transfermarkt goalscorers 25/26
Assane Diatta,26,Forward,Senegal,0,Unknown,FC Malisheva,0,6,0,26,0,0,Transfermarkt goalscorers 25/26
Arbnor Ramadani,31,Midfielder,Kosovo,0,Unknown,KF Llapi,0,5,0,29,0,0,Transfermarkt goalscorers 25/26
Igball Jashari,20,Forward,Kosovo,0,Unknown,FC Drenica,0,5,0,31,0,0,Transfermarkt goalscorers 25/26
Edi Basa,32,Forward,Croatia,0,Unknown,SC Gjilani,0,5,0,32,0,0,Transfermarkt goalscorers 25/26
Betim Haxhimusa,34,Forward,Kosovo,0,Unknown,FC Ferizaj,0,5,0,28,0,0,Transfermarkt goalscorers 25/26
Walid Hamidi,29,Forward,Algeria,0,Unknown,FC Ballkani,0,5,0,23,0,0,Transfermarkt goalscorers 25/26
